K Inj Por b CHD Ext DSP REN_1_1  REN_1_2 REN_2_1 REN_2_2 REN_3_1 REN_3_2 REN_4_1 REN_4_2
0.002444 0.785102 0.130592 280.912 1047.31 1.59816 45.8074 3.87595e-08 1.50151e-07 3.39388e-07 5.96147e-07 9.0325e-07 1.23561e-06 1.58517e-06 1.94102e-06
0.002454 0.866664 0.364812 332.419 1053.65 2.58734 42.6184 0.00109466 0.0033548 0.0065977 0.0105612 0.0151561 0.0202389 0.0256547 0.0313119
0.001489 0.842262 0.441349 463.064 1022.6 1.01838 5.51647 0.131787 0.232094 0.315387 0.386436 0.447952 0.50179 0.549267 0.591136
0.002225 0.800546 0.370312 314.512 1134.15 2.24249 47.0409 6.20188e-09 1.44734e-08 2.31938e-08 3.15781e-08 3.88094e-08 4.48406e-08 4.99852e-08 5.43659e-08
0.002602 0.601477 0.342432 270.975 1140.15 0.777201 24.3889 9.26457e-13 1.37907e-12 1.59709e-12 1.70008e-12 1.7517e-12 1.77908e-12 1.79405e-12 1.80231e-12
0.001663 2.1796 0.26457 488.426 1034.13 2.32265 14.9281 0.0511702 0.0992796 0.144892 0.188131 0.229027 0.267582 0.303732 0.337676
0.002345 0.606367 0.230109 267.925 1007.97 1.09936 5.49946 0.279962 0.471001 0.60902 0.710143 0.785195 0.840978 0.882068 0.912366
0.001816 0.617004 0.39561 381.005 1083.04 1.1924 28.703 7.69755e-05 0.000172269 0.000266124 0.000353491 0.000436357 0.000514124 0.000586513 0.000653212
0.002474 0.910229 0.393533 234.041 1147.43 1.95214 37.1517 3.72947e-10 8.39714e-10 1.3043e-09 1.71764e-09 2.04356e-09 2.30766e-09 2.52361e-09 2.69951e-09
0.002359 0.765855 0.392749 498.193 1062.07 2.16918 19.0588 0.000142429 0.00036359 0.00061562 0.000888648 0.00117228 0.00145948 0.00174607 0.00202759
0.001882 1.1098 0.279554 412.398 1128.66 1.27247 8.23315 7.01785e-10 1.22925e-09 1.56004e-09 1.7917e-09 1.95352e-09 2.06442e-09 2.14055e-09 2.19235e-09
0.002043 0.893426 0.437469 381.38 1082.32 1.91893 36.3287 0.000161167 0.000402345 0.000675441 0.000964847 0.00126271 0.00156062 0.00185515 0.0021435
0.002382 1.07679 0.370929 122.431 1104.8 2.11537 44.4256 1.41148e-05 6.12226e-05 0.000148779 0.000278544 0.00044845 0.000654798 0.000890104 0.00115035
0.00062 1.31796 0.49348 430.653 1012.4 3.03265 20.1984 0.467454 0.73277 0.867686 0.933851 0.966347 0.982485 0.990668 0.994996
0.000966 0.757617 0.262171 293.649 1077.5 1.32743 43.4469 0.00767717 0.0188162 0.0319311 0.0463207 0.0615233 0.0770658 0.092638 0.108032
0.001766 1.12867 0.356938 315.292 1027.72 1.80518 34.7686 0.135474 0.244799 0.338994 0.421373 0.493624 0.556853 0.612151 0.660382
0.002695 1.09304 0.342773 436.381 1088.32 1.97529 36.1487 3.80704e-08 8.12164e-08 1.20829e-07 1.56468e-07 1.87052e-07 2.12306e-07 2.31896e-07 2.4725e-07
0.002641 0.652633 0.170174 340.213 1056.66 1.54734 33.4149 3.67901e-09 9.92153e-09 1.74445e-08 2.53307e-08 3.26343e-08 3.93054e-08 4.53794e-08 5.08594e-08
0.002456 2.45898 0.499936 403.172 1025.61 4.56704 23.8746 0.207861 0.360907 0.483657 0.583988 0.665718 0.73167 0.78496 0.827824
0.000736 1.09822 0.474214 495.533 1089.08 2.34647 10.7208 0.075629 0.147032 0.21483 0.278078 0.336337 0.389374 0.437699 0.481776
0.001258 1.8718 0.359077 436.767 1125.89 3.40273 49.5044 0.000315727 0.000912661 0.00173119 0.00269493 0.00378075 0.00495872 0.00618931 0.00744897
0.000842 1.45741 0.250598 250.46 1017.65 2.07626 15.1328 0.323347 0.564676 0.727154 0.83184 0.897671 0.9383 0.963147 0.978164
0.001256 3.88136 0.49844 446.72 1054.18 6.32469 34.5679 0.213607 0.36749 0.489885 0.589822 0.671338 0.737652 0.791263 0.834332
0.000959 0.928648 0.326717 320.327 1135.45 0.968492 10.332 0.000152468 0.000334915 0.000522225 0.000694999 0.000857587 0.00101002 0.00115134 0.00128205
0.001805 0.589189 0.160439 263.011 1002.35 1.62697 15.8124 0.573433 0.847369 0.947573 0.982248 0.993999 0.99799 0.999381 0.999879
0.001654 2.65479 0.468997 390.201 1100.43 2.9035 18.5437 0.00217397 0.0052006 0.0087048 0.0124993 0.0164609 0.0204366 0.0243325 0.0281679
0.002527 2.63068 0.295988 474.074 1025.95 7.7418 47.9883 0.166735 0.323189 0.460571 0.57627 0.670895 0.746748 0.806737 0.853594
0.001475 1.42978 0.235661 485.385 1063.81 3.84135 9.18249 0.00243413 0.00781075 0.0158064 0.0258629 0.037533 0.0504528 0.0641862 0.0784765
0.001263 2.03378 0.420481 396.737 1013.44 2.29415 17.9238 0.255146 0.45887 0.611863 0.722193 0.801832 0.858854 0.899512 0.928419
0.00088 0.95494 0.398479 276.441 1089.87 2.31246 15.8474 0.062916 0.133401 0.205068 0.274173 0.339237 0.399609 0.455164 0.506003
0.00116 0.902224 0.428626 124.789 1056.9 2.08362 43.3049 0.239869 0.415044 0.553721 0.663119 0.748088 0.812999 0.861877 0.898446
0.002318 2.12451 0.271123 461.26 1127.96 4.50462 29.2899 3.9363e-11 1.18083e-10 2.18761e-10 3.20718e-10 4.1672e-10 5.05412e-10 5.85205e-10 6.52868e-10
0.002466 1.84598 0.423721 422.506 1118.32 2.57581 36.35 8.845e-08 1.95651e-07 2.97745e-07 3.91992e-07 4.75161e-07 5.4484e-07 5.99921e-07 6.44876e-07
0.002489 1.53948 0.452095 326.493 1062.35 3.6861 25.7548 0.00371332 0.0106961 0.0202119 0.0315903 0.0442441 0.0577496 0.0718677 0.0863326
0.000722 1.39391 0.373669 211.812 1021.22 1.6653 19.3971 0.279233 0.505502 0.66981 0.782624 0.858426 0.908399 0.940936 0.961936
0.000675 0.58224 0.351479 493.999 1125.87 1.48201 49.5639 0.00341497 0.00826994 0.0139538 0.0200322 0.0261739 0.0323445 0.0384786 0.0445303
0.001793 1.51712 0.469998 440.556 1092.09 2.55038 41.6288 0.000596781 0.00149491 0.00257287 0.00372114 0.00491179 0.00611845 0.00732403 0.00851555
0.001296 1.29061 0.491917 401.769 1002.32 1.98247 48.8288 0.348019 0.596684 0.7571 0.855071 0.913514 0.948125 0.968645 0.980876
0.0016 3.36669 0.371956 390.688 1117.26 4.21092 45.7703 0.000349855 0.00104277 0.00201946 0.00319715 0.00451778 0.00595311 0.0074579 0.00899805
0.001044 1.60374 0.482339 212.081 1131.62 2.89644 11.3299 0.0250053 0.0587657 0.0965198 0.135827 0.175429 0.214523 0.252654 0.289239
0.001832 1.92571 0.396161 405.143 1108.45 4.94014 17.168 0.000137402 0.000486955 0.00103934 0.00178806 0.00270351 0.00375753 0.00492937 0.00618953
0.000611 1.081 0.413165 336.724 1105.31 3.08461 45.1824 0.135779 0.262354 0.376494 0.476152 0.561188 0.633225 0.693879 0.744741
0.002027 2.88093 0.42022 290.439 1005.26 3.39599 38.7729 0.287508 0.535225 0.71553 0.833007 0.904378 0.946233 0.970117 0.983522
0.001939 0.87766 0.236773 137.86 1085.96 1.26497 49.637 7.22825e-06 2.67529e-05 5.81236e-05 0.000100499 0.000151477 0.00020928 0.000272072 0.000337688
0.002256 0.737947 0.343541 196.517 1069.54 1.3545 46.1019 0.000140766 0.000404987 0.000757021 0.00117011 0.00163197 0.00212723 0.00263879 0.00315887
